code,code_numeric,error_description,possible_reasons,how_to_deal_with,remarks,device_or_context,sv_source_doc,sv_source_ref
F0,240,EEPROM communicating failure,Communication between EEPROM and MCU fails.,Change the wired controller,The unit can run.,controller / control box related,cbd361e9-ea97-41bb-bc7c-b9da1bd1f923.pdf,pages=145-146
F1,241,Wired controller temperature sensor failure Communication between temperature sensor and MCU,fails.,,The unit can run.,controller / control box related,cbd361e9-ea97-41bb-bc7c-b9da1bd1f923.pdf,pages=145-146
F2,242,Wired controller clock IC failure,Communication between Clock IC and MCU fails.,,The unit can run. Change the wired controller Change the wired controller The unit can run.,controller / control box related,cbd361e9-ea97-41bb-bc7c-b9da1bd1f923.pdf,pages=145-146
F4,244,Wired controller EEPROM data error,1.EE components fail; 2.EE components control circuit fails; 3.EE components are inserted incorrectly.,Change the wired controller,The unit can run.,controller / control box related,cbd361e9-ea97-41bb-bc7c-b9da1bd1f923.pdf,pages=145-146
FA,,Brand error between indoor unit and wired controller,Connected to different brand wired controller.,Change the wired controller to the same brand with indoor unit,The unit will stop.,controller / control box related,cbd361e9-ea97-41bb-bc7c-b9da1bd1f923.pdf,pages=145-146
F3,243,Wired controller touch chip failure,,,,controller / control box related,cbd361e9-ea97-41bb-bc7c-b9da1bd1f923.pdf,pages=145-146
F5,245,Communication failure between B544 and indoor unit Wired controller touch chip failure,1. The wiring between the B544 to the indoor control board connect loose; 2. The sequence of the wiring between the B544 to the indoor control board is wrong; 3. The wiring between the B544 to the indoor control board is failure; 4. The B544 is failure; 5. The indoor control board is abnormally. 1. Reconnect the wiring between the B544 to the indoor control board; 2.Replace the wiring between the B544 to the indoor control board; 3. Replace the wiring between the B544 to the indoor control board; 4. Replace the B544; 5. Replace the indoor control Board.,,The unit can run. Change the wired controller,controller / control box related,cbd361e9-ea97-41bb-bc7c-b9da1bd1f923.pdf,pages=145-146
FE,254,Communication between main control board &Wiring remote controller Fault (display on wiring remote   controller),1. The wiring between the wiring controller to the indoor control board connect loose; 2. The sequence of the wiring between the wiring controller to the indoor control board is wrong; 3. The wiring between the wiring controller to the indoor control board is failure; 4. The wiring controller is failure; 5. The indoor control board is abnormally. 1. Reconnect the wiring between the wiring controller to the indoor control board; 2.Replace the wiring between the wiring controller to the indoor control board; 3. Replace the wiring between the wiring controller to the indoor control board; 4. Replace the wiring controller; 5. Replace the indoor control Board.,,The unit can run.,controller / control box related,cbd361e9-ea97-41bb-bc7c-b9da1bd1f923.pdf,pages=145-146
ER,,Communication between main control board &display board Fault (displays on display board),1. The wiring between the display board to the indoor control board connect loose; 2. The sequence of the wiring between the display board to the indoor control board is wrong; 3. The wiring between the display board to the indoor control board is failure; 4. The display board is failure; 5. The indoor control board is failure. 1.Reconnect the between the display board to the indoor control board; 2.Replace the wiring between the display board to the indoor control board; 3.Replace the wiring between the display board to the indoor control board; 4.Replace the display board; 5.Replace the indoor control board.,,The unit can run.,controller / control box related,cbd361e9-ea97-41bb-bc7c-b9da1bd1f923.pdf,pages=145-146
Fb,,Error between slave indoor unit and simplified central controller Communication Error between Slave IDU and simplified central controller,"1. Reconnect the connection cable referring to the wiring diagram; 2. Reconnect the communication cable; 3. Replace the communication cable; 4. Replace the indoor control board; 5. Check the communication circuit, adjust the DIP switch",,1. Only for simplified central controller 2. The unit will stop.,controller / control box related,cbd361e9-ea97-41bb-bc7c-b9da1bd1f923.pdf,pages=145-146
FC,,Unbalanced distribution warming Coil temperature difference between the master indoor unit,and slave indoor unit is too big. 1. Check the installation height difference 2. Check the branch connection pipe. 3. Check the pipe lengh difference of each indoor unit.,,1. Only for simplified central controller 2. The unit will stop.,controller / control box related,cbd361e9-ea97-41bb-bc7c-b9da1bd1f923.pdf,pages=145-146
Fd,,Central controller communicating failure Central controller can not find the wired controller or central,"control box correctly. 1. Reconnect the connection cable referring to the wiring diagram; 2. Reconnect the communication cable; 3. Replace the communication cable; 4. Replace the indoor control board; 5. Check the communication circuit, adjust the DIP switch",,1. Only for  central controller 2. The unit will stop.,controller / control box related,cbd361e9-ea97-41bb-bc7c-b9da1bd1f923.pdf,pages=145-146
