indoor_model,outdoor_model,mode,frequency,indoor_db_c,indoor_wb_c,outdoor_db_c,q_kw,shc_kw,shf,input_w,rated_capacity_kw,rated_shf,rated_input_w,sv_source_doc,sv_source_ref
ADT-09UX4RBL8,AUW-09U4RS8,cooling,rated,21,18,-15,2.52,1.31,0.52,422,2.6,0.7,590.0,17cdc50d-d0c2-4e37-8186-20f7baf84d6f.pdf,page 40
ADT-09UX4RBL8,AUW-09U4RS8,cooling,rated,21,18,-5,2.49,1.3,0.52,426,2.6,0.7,590.0,17cdc50d-d0c2-4e37-8186-20f7baf84d6f.pdf,page 40
ADT-09UX4RBL8,AUW-09U4RS8,cooling,rated,21,18,0,2.46,1.28,0.52,430,2.6,0.7,590.0,17cdc50d-d0c2-4e37-8186-20f7baf84d6f.pdf,page 40
ADT-09UX4RBL8,AUW-09U4RS8,cooling,rated,21,18,5,2.43,1.27,0.52,433,2.6,0.7,590.0,17cdc50d-d0c2-4e37-8186-20f7baf84d6f.pdf,page 40
ADT-09UX4RBL8,AUW-09U4RS8,cooling,rated,21,18,10,2.41,1.25,0.52,435,2.6,0.7,590.0,17cdc50d-d0c2-4e37-8186-20f7baf84d6f.pdf,page 40
ADT-09UX4RBL8,AUW-09U4RS8,cooling,rated,21,18,15,2.38,1.24,0.52,450,2.6,0.7,590.0,17cdc50d-d0c2-4e37-8186-20f7baf84d6f.pdf,page 40
ADT-09UX4RBL8,AUW-09U4RS8,cooling,rated,21,18,20,2.35,1.22,0.52,470,2.6,0.7,590.0,17cdc50d-d0c2-4e37-8186-20f7baf84d6f.pdf,page 40
ADT-09UX4RBL8,AUW-09U4RS8,cooling,rated,21,18,25,2.31,1.2,0.52,503,2.6,0.7,590.0,17cdc50d-d0c2-4e37-8186-20f7baf84d6f.pdf,page 40
ADT-09UX4RBL8,AUW-09U4RS8,cooling,rated,21,18,30,2.25,1.17,0.52,526,2.6,0.7,590.0,17cdc50d-d0c2-4e37-8186-20f7baf84d6f.pdf,page 40
ADT-09UX4RBL8,AUW-09U4RS8,cooling,rated,21,18,35,2.19,1.14,0.52,546,2.6,0.7,590.0,17cdc50d-d0c2-4e37-8186-20f7baf84d6f.pdf,page 40
ADT-09UX4RBL8,AUW-09U4RS8,cooling,rated,21,18,40,2.01,1.04,0.52,580,2.6,0.7,590.0,17cdc50d-d0c2-4e37-8186-20f7baf84d6f.pdf,page 40
ADT-09UX4RBL8,AUW-09U4RS8,cooling,rated,21,18,45,1.66,0.86,0.52,603,2.6,0.7,590.0,17cdc50d-d0c2-4e37-8186-20f7baf84d6f.pdf,page 40
ADT-09UX4RBL8,AUW-09U4RS8,cooling,rated,21,20,-15,2.62,1.05,0.4,445,2.6,0.7,590.0,17cdc50d-d0c2-4e37-8186-20f7baf84d6f.pdf,page 40
ADT-09UX4RBL8,AUW-09U4RS8,cooling,rated,21,20,-5,2.59,1.04,0.4,449,2.6,0.7,590.0,17cdc50d-d0c2-4e37-8186-20f7baf84d6f.pdf,page 40
ADT-09UX4RBL8,AUW-09U4RS8,cooling,rated,21,20,0,2.57,1.03,0.4,453,2.6,0.7,590.0,17cdc50d-d0c2-4e37-8186-20f7baf84d6f.pdf,page 40
