model,24_hours_timer,3_speed_and_auto_indoor_fan_control,additional_ref_volume,air_circulation,auto_restart,brand,compressor_mfg,compressor_model_no,compressor_type,connecting_pipe_diameter,cooling_capacity,cooling_operating_temperature_range,cooling_setting_temperature_range,cooling_speed,cooling_speed_super_high_mid_low,cop_for_heating,dimmer,display_on_front_panel,eer_for_cooling,energy_class,gas_pipe,gross_weight_kg,heating_capacity,heating_operating_temperature_range,heating_setting_temperature_range,heating_speed,heating_speed_super_high_mid_low,indoor_fan_motor,indoor_unit_noise_level,lcd_wireless_remote_controller,liquid_pipe,manual_adjustable_horizontal_swing_louver,max_discharge_pressure,max_suction_pressure,model_parameter,model_no,moisture_removal,net_dimensions_w_x_h_x_d_mm,net_weight_kg,outdoor_fan_motor,outdoor_unit_noise_level,packing_dimensions_w_x_h_x_d_mm,power_supply,rated_current,rated_input_cooling,rated_input_heating,refrigerant,refrigerant_charge_volume_5m,removable_and_washable_panel,scop_for_heating,seer_for_cooling,sleep_operation,smart_function,super_function,system_pressures_in_cooling_rated_conditions,type,vertical_auto_swing_louver,voltage_frequency_phase,washable_pp_filter
AS-09UR4RYR**01,Yes,Yes,20,550,Yes,Zhipu,LG,DS089MJA,Rotary,Connecting Pipe Diameter,2600,-15~43,16-30,1200,,,Yes,LED,,A++,3/8,8.6,2700,-15-24,16-30,800,,Indoor fan motor,56,Yes,1/4,Yes,4.15,1.6,DG13Z1D-02,DG13G1D-03,0.9,790×255×200,7.1,outdoor fan motor,62,850×320×260,,3.9,855,700,R32,460,Yes,4.0,6.1,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"230V,50Hz,1P",Yes
AS-09UW4RXV**00,Yes,Yes,20,580,Yes,WOLONG,GMCC,KSN98D58UFZA,Rotary,,2600,-15-43,18-32,1070,,5.1,Yes,LED,8.8,A+++,3/8,18.5,3200,-20-24,18-32,1070,,Indoor fan motor,53,Yes,1/4,Yes,4.15,1.6,DG13Z1D-06,ZWA108D42B,0.9,980×313×205,13.5,outdoor fan motor,60,1060×400×430,,2.4,535,720,R32,860,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AS-09UW4RYR**01A,Yes,Yes,20,550,Yes,Zhipu,LG,DS089MJA,Rotary,Connecting Pipe Diameter,2600,-15~43,16-30,1200,,,Yes,LED,,A++,3/8,25.4,2700,-15-24,16-30,1200,,Indoor fan motor,56,Yes,1/4,Yes,4.15,1.6,DG13Z1D-02,DG13G1D-03,0.9,790×255×200,22.1,outdoor fan motor,62,850×320×260,,3.9,855,700,R32,460,Yes,4.0,6.1,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"230V,50Hz,1P",Yes
AS-09UW4RYR**03,Yes,Yes,20,550,Yes,Zhipu,GMCC,KSK89D59UEZC,Rotary,,2600,19-50,16-30,850,,4.0,Yes,LED,6.1,A+,3/8,8.6,2700,-15-24,16-30,1000,,Indoor fan motor,56,Yes,1/4,Yes,4.15,1.6,DG13Z1D-05,DG13G1D-03,0.9,660×483×240,21.7,outdoor fan motor,62,850×320×260,,3.9,855,700,R32,460,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"230V,50Hz,1P",Yes
AS-09UW4RYR**03B,Yes,Yes,20,550,Yes,Zhipu,GMCC,KSK89D59UEZC,Rotary,,2600,19-50,16-30,1200,,4.0,Yes,LED,6.1,A++,3/8,8.6,2700,-15-24,16-30,850,,Indoor fan motor,56,Yes,1/4,Yes,4.15,1.6,DG13Z1D-05,DG13G1D-03,0.9,790×255×203,21.7,outdoor fan motor,62,780×530×315,,3.9,855,700,R32,460,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AS-12UR4RYR**01,Yes,Yes,20,550,Yes,Zhipu,GMCC,KSK89D59UEZC,Rotary,Connecting Pipe Diameter,3400,-15~43,16-30,1250,,,Yes,LED,,A++,3/8,26,3800,-15-24,16-30,850,,Indoor fan motor,56,Yes,1/4,Yes,4.15,1.6,DG13Z1D-02,DG13G1D-03,1.2,790×255×200,7.1,outdoor fan motor,62,850×320×260,,5.0,1140,1050,R32,620,Yes,4.0,6.10,Yes,Yes,Yes,System pressures in cooling rated conditions,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AS-12UW4RXV**00,Yes,Yes,20,630,Yes,WOLONG,GMCC,KSN98D58UFZA,Rotary,,3500,-15-43,18-32,1120,,5.1,Yes,LED,8.5,A+++,3/8,18.5,4200,-20-24,18-32,1120,,Indoor fan motor,54,Yes,1/4,Yes,4.15,1.6,DG13Z1D-06,ZWA108D42B,1.2,980×313×205,13.5,outdoor fan motor,62,1060×430×400,,3.6,810,1040,R32,860,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AS-12UW4RYD**04,Yes,Yes,20,580,Yes,"Wolong，Welling,Broad-ocean",GMCC,KSK89D59UEZC,Rotary,,3400,-15-45,16-30,992,,3.62,Yes,LED,2.98,A++ SEER6.1,3/8,9.1,3800,-15-27,16-30,1154,,Indoor fan motor,37,Yes,1/4,Yes,4.15,1.6,DG13Z1D-05,ZWA108D42B,1.2,764×270×219,21.5,outdoor fan motor,51,800×335×265,,5.0,1140,1050,R32,580,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AS-12UW4RYR**01A,Yes,Yes,20,550,Yes,Zhipu,GMCC,KSK89D59UEZC,Rotary,Connecting Pipe Diameter,3400,-15~43,16-30,1250,,,Yes,LED,,A++,3/8,26,3800,-15-24,16-30,1000,,Indoor fan motor,56,Yes,1/4,Yes,4.15,1.6,DG13Z1D-02,DG13G1D-03,1.2,790×255×200,7.1,outdoor fan motor,62,850×320×260,,5.0,1140,1050,R32,620,Yes,4.0,6.10,Yes,Yes,Yes,System pressures in cooling rated conditions,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AS-12UW4RYR**03,Yes,Yes,20,550,Yes,Zhipu,GMCC,KSK89D59UEZC,Rotary,,3400,19-45,16-30,1250,,4.0,Yes,LED,6.1,A++,3/8,8.6,3800,-7-24,16-30,1250,,Indoor fan motor,56,Yes,1/4,Yes,4.15,1.6,DG13Z1D-05,DG13G1D-03,1.2,790×255×200,7.1,outdoor fan motor,62,850×320×260,,5.0,1140,1050,R32,580,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"230V,50Hz,1P",Yes
